Name,Task,Phase,Trial,Leg,StartTime,EndTime
282,Perspective Taking,Transition,NA,NA,2023-10-10T07:25:14Z,2023-10-10T07:25:19Z
282,Perspective Taking,Waterfall,Rocket,Tree,2023-10-10T07:25:19Z,2023-10-10T07:26:01Z
284,Training,Rotation,R 90,NA,2023-10-12T02:27:03Z,2023-10-12T02:27:30Z
284,Training,Transition,NA,NA,2023-10-12T02:27:30Z,2023-10-12T02:27:34Z
284,Training,Rotation,Returning R 90,NA,2023-10-12T02:27:34Z,2023-10-12T02:27:43Z
284,Training,Transition,NA,NA,2023-10-12T02:27:43Z,2023-10-12T02:27:47Z
284,Training,Rotation,L 45,NA,2023-10-12T02:27:47Z,2023-10-12T02:27:56Z
284,Training,Transition,NA,NA,2023-10-12T02:27:56Z,2023-10-12T02:28:00Z
284,Training,Rotation,Returning L 45,NA,2023-10-12T02:28:00Z,2023-10-12T02:28:09Z
284,Training,Transition,NA,NA,2023-10-12T02:28:09Z,2023-10-12T02:28:25Z
284,Training,Movement,1,NA,2023-10-12T02:28:25Z,2023-10-12T02:28:38Z
284,Training,Transition,NA,NA,2023-10-12T02:28:38Z,2023-10-12T02:28:38Z
284,Training,Movement,2,NA,2023-10-12T02:28:38Z,2023-10-12T02:29:01Z
284,Training,Transition,NA,NA,2023-10-12T02:29:01Z,2023-10-12T02:29:03Z
284,Training,Movement,3,NA,2023-10-12T02:29:03Z,2023-10-12T02:29:17Z
284,Training,Transition,NA,NA,2023-10-12T02:29:17Z,2023-10-12T02:29:17Z
284,Training,Movement,4,NA,2023-10-12T02:29:17Z,2023-10-12T02:29:31Z
284,Training,Transition,NA,NA,2023-10-12T02:29:31Z,2023-10-12T02:29:46Z
284,Training,HomingMultiLegs,T1.L1,NA,2023-10-12T02:29:46Z,2023-10-12T02:29:46Z
284,Training,Transition,NA,NA,2023-10-12T02:29:46Z,2023-10-12T02:30:09Z
284,Training,HomingMultiLegs,T1.L2,NA,2023-10-12T02:30:09Z,2023-10-12T02:30:09Z
284,Training,Transition,NA,NA,2023-10-12T02:30:09Z,2023-10-12T02:30:42Z
284,Training,HomingMultiLegs,T1.L3,NA,2023-10-12T02:30:42Z,2023-10-12T02:30:42Z
284,Training,Transition,NA,NA,2023-10-12T02:30:42Z,2023-10-12T02:32:05Z
284,Training,HomingMultiLegs,T2.L1,NA,2023-10-12T02:32:05Z,2023-10-12T02:32:05Z
284,Training,Transition,NA,NA,2023-10-12T02:32:05Z,2023-10-12T02:32:25Z
284,Training,HomingMultiLegs,T2.L2,NA,2023-10-12T02:32:25Z,2023-10-12T02:32:25Z
284,Training,Transition,NA,NA,2023-10-12T02:32:25Z,2023-10-12T02:32:58Z
284,Training,HomingMultiLegs,T2.L3,NA,2023-10-12T02:32:58Z,2023-10-12T02:32:58Z
284,Training>Path Integration,Transition,NA,NA,2023-10-12T02:32:58Z,2023-10-12T02:34:37Z
284,Path Integration,NA,1,1,2023-10-12T02:34:37Z,2023-10-12T02:35:06Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:35:06Z,2023-10-12T02:35:29Z
284,Path Integration,NA,1,2,2023-10-12T02:35:29Z,2023-10-12T02:35:57Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:35:57Z,2023-10-12T02:36:16Z
284,Path Integration,NA,1,3,2023-10-12T02:36:16Z,2023-10-12T02:37:33Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:37:33Z,2023-10-12T02:38:04Z
